dataset,IR,fold,rep,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_949_arsenic-female-bladder,0.16701461377870563,0,0,0.35714285714285715,0.4166666666666667,0.3125,0.6197916666666667,0.5382504451151588,0.6774088541666666
dataset_949_arsenic-female-bladder,0.16701461377870563,1,0,0.3333333333333333,0.5,0.25,0.6041666666666667,0.48947250518628044,0.7766927083333333
dataset_949_arsenic-female-bladder,0.16701461377870563,2,0,0.2962962962962963,0.36363636363636365,0.25,0.5885416666666667,0.481425833678806,0.7421875
dataset_949_arsenic-female-bladder,0.16701461377870563,3,0,0.17391304347826086,0.2857142857142857,0.125,0.5364583333333333,0.3442231592053814,0.7851562500000001
dataset_949_arsenic-female-bladder,0.16701461377870563,4,0,0.17391304347826086,0.2857142857142857,0.125,0.5361842105263157,0.34412360080584264,0.7523026315789474
dataset_950_arsenic-female-lung,0.03518518518518519,0,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_950_arsenic-female-lung,0.03518518518518519,1,0,0.4,1.0,0.25,0.625,0.5,0.7430555555555556
dataset_950_arsenic-female-lung,0.03518518518518519,2,0,0.6666666666666666,1.0,0.5,0.75,0.7071067811865476,0.8645833333333334
dataset_950_arsenic-female-lung,0.03518518518518519,3,0,0.6666666666666666,1.0,0.5,0.75,0.7071067811865476,0.8680555555555556
dataset_950_arsenic-female-lung,0.03518518518518519,4,0,0.8,1.0,0.6666666666666666,0.8333333333333333,0.816496580927726,0.8271604938271605
dataset_951_arsenic-male-lung,0.023809523809523808,0,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_951_arsenic-male-lung,0.023809523809523808,1,0,0.8,1.0,0.6666666666666666,0.8333333333333333,0.816496580927726,1.0
dataset_951_arsenic-male-lung,0.023809523809523808,2,0,0.8,1.0,0.6666666666666666,0.8333333333333333,0.816496580927726,0.8333333333333333
dataset_951_arsenic-male-lung,0.023809523809523808,3,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_951_arsenic-male-lung,0.023809523809523808,4,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_954_spectrometer,0.11554621848739496,0,0,0.6666666666666666,0.6153846153846154,0.7272727272727273,0.837594696969697,0.830297500534561,0.9715909090909091
dataset_954_spectrometer,0.11554621848739496,1,0,0.6956521739130435,0.6666666666666666,0.7272727272727273,0.8425837320574163,0.8346560475449449,0.9315789473684211
dataset_954_spectrometer,0.11554621848739496,2,0,0.7,0.7777777777777778,0.6363636363636364,0.8076555023923445,0.7892822734466001,0.8746411483253589
dataset_954_spectrometer,0.11554621848739496,3,0,0.8,0.7142857142857143,0.9090909090909091,0.9334928229665072,0.9331738300708966,0.9889952153110048
